domain,aspect,sentiment,tweet_text
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
smartphones,design,negative,Really disappointed by the design in this smartphones.
smartphones,screen,neutral,"The screen on the smartphones is okay, I guess."
restaurants,ambience,neutral,"Honestly, the ambience feels pretty average for a restaurants."
smartphones,performance,neutral,No real complaints or praise for the performance of this smartphones.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
e-commerce,refund policy,negative,Still can't get over how bad the refund policy is on this e-commerce.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
restaurants,price,neutral,"The price on the restaurants is okay, I guess."
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
ride-sharing,wait time,positive,Totally satisfied with the wait time—solid upgrade for the ride-sharing.
restaurants,price,neutral,Not much to say about the price—it's just fine.
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
smartphones,performance,positive,The performance on this smartphones exceeded all expectations.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
streaming services,content variety,neutral,Not much to say about the content variety—it's just fine.
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
ride-sharing,ride cost,neutral,"Honestly, the ride cost feels pretty average for a ride-sharing."
e-commerce,refund policy,negative,Still can't get over how bad the refund policy is on this e-commerce.
smartphones,battery life,negative,Really disappointed by the battery life in this smartphones.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
restaurants,price,negative,Wish the price on this restaurants was better.
ride-sharing,route efficiency,positive,The route efficiency on this ride-sharing exceeded all expectations.
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
streaming services,video quality,positive,Absolutely loving the video quality of my new streaming services.
restaurants,food quality,positive,The food quality on this restaurants exceeded all expectations.
streaming services,content variety,neutral,Not much to say about the content variety—it's just fine.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
streaming services,app experience,negative,The app experience totally ruined my experience with this streaming services.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
streaming services,app experience,negative,Wish the app experience on this streaming services was better.
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
e-commerce,refund policy,positive,The refund policy on this e-commerce exceeded all expectations.
streaming services,subscription price,positive,Absolutely loving the subscription price of my new streaming services.
e-commerce,refund policy,positive,I'm genuinely impressed with the refund policy on this e-commerce.
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
streaming services,app experience,positive,I'm genuinely impressed with the app experience on this streaming services.
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
ride-sharing,ride cost,negative,This ride-sharing seriously dropped the ball on ride cost.
ride-sharing,car cleanliness,neutral,Not much to say about the car cleanliness—it's just fine.
e-commerce,product quality,positive,"Hands down, this is the best product quality I've experienced with any e-commerce."
restaurants,ambience,neutral,"The restaurants's ambience does the job, nothing exciting."
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
e-commerce,refund policy,positive,I'm genuinely impressed with the refund policy on this e-commerce.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
ride-sharing,ride cost,neutral,"The ride-sharing's ride cost does the job, nothing exciting."
smartphones,performance,positive,The performance on this smartphones exceeded all expectations.
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
smartphones,performance,negative,Really disappointed by the performance in this smartphones.
streaming services,content variety,positive,The content variety on this streaming services exceeded all expectations.
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
restaurants,service,positive,"Hands down, this is the best service I've experienced with any restaurants."
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
streaming services,ads,negative,Wish the ads on this streaming services was better.
e-commerce,product quality,neutral,"The product quality on the e-commerce is okay, I guess."
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
restaurants,service,neutral,Not much to say about the service—it's just fine.
restaurants,price,neutral,Not much to say about the price—it's just fine.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
smartphones,design,neutral,"The smartphones's design does the job, nothing exciting."
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
streaming services,video quality,neutral,"Honestly, the video quality feels pretty average for a streaming services."
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
restaurants,service,neutral,Not much to say about the service—it's just fine.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
e-commerce,refund policy,negative,Wish the refund policy on this e-commerce was better.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
streaming services,video quality,negative,Still can't get over how bad the video quality is on this streaming services.
e-commerce,refund policy,positive,Absolutely loving the refund policy of my new e-commerce.
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
restaurants,service,positive,"Hands down, this is the best service I've experienced with any restaurants."
smartphones,camera,positive,The camera on this smartphones exceeded all expectations.
restaurants,ambience,negative,Really disappointed by the ambience in this restaurants.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
e-commerce,refund policy,neutral,"The e-commerce's refund policy does the job, nothing exciting."
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
streaming services,subscription price,negative,Wish the subscription price on this streaming services was better.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
e-commerce,customer support,negative,This e-commerce seriously dropped the ball on customer support.
ride-sharing,ride cost,neutral,"The ride cost on the ride-sharing is okay, I guess."
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
streaming services,ads,positive,Totally satisfied with the ads—solid upgrade for the streaming services.
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
e-commerce,refund policy,positive,"Hands down, this is the best refund policy I've experienced with any e-commerce."
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
ride-sharing,driver behavior,neutral,No real complaints or praise for the driver behavior of this ride-sharing.
restaurants,service,neutral,Not much to say about the service—it's just fine.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
ride-sharing,wait time,positive,"Hands down, this is the best wait time I've experienced with any ride-sharing."
streaming services,video quality,positive,The video quality on this streaming services exceeded all expectations.
streaming services,app experience,negative,This streaming services seriously dropped the ball on app experience.
streaming services,app experience,positive,I'm genuinely impressed with the app experience on this streaming services.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
streaming services,video quality,positive,Absolutely loving the video quality of my new streaming services.
ride-sharing,wait time,neutral,No real complaints or praise for the wait time of this ride-sharing.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
smartphones,screen,negative,This smartphones seriously dropped the ball on screen.
restaurants,price,positive,I'm genuinely impressed with the price on this restaurants.
restaurants,price,neutral,"The restaurants's price does the job, nothing exciting."
e-commerce,customer support,neutral,"The customer support on the e-commerce is okay, I guess."
streaming services,app experience,positive,"Hands down, this is the best app experience I've experienced with any streaming services."
restaurants,service,positive,"Hands down, this is the best service I've experienced with any restaurants."
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
e-commerce,customer support,positive,Absolutely loving the customer support of my new e-commerce.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
e-commerce,delivery time,neutral,No real complaints or praise for the delivery time of this e-commerce.
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
ride-sharing,route efficiency,neutral,"The ride-sharing's route efficiency does the job, nothing exciting."
e-commerce,product quality,neutral,Not much to say about the product quality—it's just fine.
smartphones,design,positive,Absolutely loving the design of my new smartphones.
streaming services,ads,positive,Totally satisfied with the ads—solid upgrade for the streaming services.
e-commerce,packaging,neutral,"The packaging on the e-commerce is okay, I guess."
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
ride-sharing,wait time,positive,Totally satisfied with the wait time—solid upgrade for the ride-sharing.
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
streaming services,content variety,negative,This streaming services seriously dropped the ball on content variety.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
restaurants,food quality,negative,This restaurants seriously dropped the ball on food quality.
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
restaurants,ambience,neutral,"The ambience on the restaurants is okay, I guess."
ride-sharing,route efficiency,positive,The route efficiency on this ride-sharing exceeded all expectations.
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
smartphones,screen,positive,I'm genuinely impressed with the screen on this smartphones.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
restaurants,service,positive,I'm genuinely impressed with the service on this restaurants.
e-commerce,delivery time,positive,Absolutely loving the delivery time of my new e-commerce.
smartphones,design,negative,Still can't get over how bad the design is on this smartphones.
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
restaurants,price,negative,Really disappointed by the price in this restaurants.
smartphones,camera,positive,The camera on this smartphones exceeded all expectations.
streaming services,video quality,neutral,No real complaints or praise for the video quality of this streaming services.
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
ride-sharing,ride cost,neutral,"The ride-sharing's ride cost does the job, nothing exciting."
ride-sharing,car cleanliness,negative,Still can't get over how bad the car cleanliness is on this ride-sharing.
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
restaurants,service,positive,"Hands down, this is the best service I've experienced with any restaurants."
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
streaming services,app experience,negative,The app experience totally ruined my experience with this streaming services.
restaurants,ambience,neutral,No real complaints or praise for the ambience of this restaurants.
streaming services,video quality,negative,Wish the video quality on this streaming services was better.
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
restaurants,price,positive,Absolutely loving the price of my new restaurants.
e-commerce,delivery time,positive,The delivery time on this e-commerce exceeded all expectations.
restaurants,service,positive,Absolutely loving the service of my new restaurants.
smartphones,camera,negative,Really disappointed by the camera in this smartphones.
e-commerce,packaging,neutral,"The e-commerce's packaging does the job, nothing exciting."
streaming services,app experience,neutral,No real complaints or praise for the app experience of this streaming services.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
smartphones,design,positive,"Hands down, this is the best design I've experienced with any smartphones."
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
smartphones,performance,neutral,"Honestly, the performance feels pretty average for a smartphones."
ride-sharing,ride cost,neutral,Not much to say about the ride cost—it's just fine.
streaming services,content variety,positive,The content variety on this streaming services exceeded all expectations.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
streaming services,video quality,negative,Still can't get over how bad the video quality is on this streaming services.
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
smartphones,design,negative,This smartphones seriously dropped the ball on design.
restaurants,cleanliness,positive,I'm genuinely impressed with the cleanliness on this restaurants.
ride-sharing,car cleanliness,positive,Absolutely loving the car cleanliness of my new ride-sharing.
ride-sharing,wait time,neutral,"The wait time on the ride-sharing is okay, I guess."
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
smartphones,battery life,negative,Still can't get over how bad the battery life is on this smartphones.
smartphones,camera,negative,Wish the camera on this smartphones was better.
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
streaming services,subscription price,negative,The subscription price totally ruined my experience with this streaming services.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
smartphones,performance,neutral,"Honestly, the performance feels pretty average for a smartphones."
smartphones,screen,neutral,"The screen on the smartphones is okay, I guess."
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
e-commerce,product quality,negative,This e-commerce seriously dropped the ball on product quality.
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
restaurants,food quality,negative,This restaurants seriously dropped the ball on food quality.
e-commerce,delivery time,negative,Wish the delivery time on this e-commerce was better.
streaming services,subscription price,negative,The subscription price totally ruined my experience with this streaming services.
ride-sharing,ride cost,neutral,No real complaints or praise for the ride cost of this ride-sharing.
ride-sharing,wait time,neutral,Not much to say about the wait time—it's just fine.
streaming services,subscription price,negative,Really disappointed by the subscription price in this streaming services.
restaurants,service,positive,Absolutely loving the service of my new restaurants.
e-commerce,delivery time,positive,The delivery time on this e-commerce exceeded all expectations.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
restaurants,ambience,negative,Still can't get over how bad the ambience is on this restaurants.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
e-commerce,customer support,positive,The customer support on this e-commerce exceeded all expectations.
restaurants,price,positive,Totally satisfied with the price—solid upgrade for the restaurants.
ride-sharing,ride cost,negative,Still can't get over how bad the ride cost is on this ride-sharing.
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
restaurants,food quality,positive,I'm genuinely impressed with the food quality on this restaurants.
restaurants,ambience,positive,Totally satisfied with the ambience—solid upgrade for the restaurants.
restaurants,cleanliness,positive,I'm genuinely impressed with the cleanliness on this restaurants.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,delivery time,negative,This e-commerce seriously dropped the ball on delivery time.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
restaurants,price,positive,Absolutely loving the price of my new restaurants.
streaming services,subscription price,negative,This streaming services seriously dropped the ball on subscription price.
smartphones,camera,neutral,"Honestly, the camera feels pretty average for a smartphones."
e-commerce,refund policy,positive,I'm genuinely impressed with the refund policy on this e-commerce.
restaurants,price,positive,Absolutely loving the price of my new restaurants.
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
smartphones,performance,positive,"Hands down, this is the best performance I've experienced with any smartphones."
smartphones,battery life,neutral,No real complaints or praise for the battery life of this smartphones.
ride-sharing,route efficiency,negative,Really disappointed by the route efficiency in this ride-sharing.
e-commerce,refund policy,negative,The refund policy totally ruined my experience with this e-commerce.
e-commerce,refund policy,positive,"Hands down, this is the best refund policy I've experienced with any e-commerce."
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
streaming services,ads,negative,Still can't get over how bad the ads is on this streaming services.
ride-sharing,ride cost,neutral,"The ride-sharing's ride cost does the job, nothing exciting."
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
ride-sharing,driver behavior,positive,Totally satisfied with the driver behavior—solid upgrade for the ride-sharing.
ride-sharing,driver behavior,neutral,No real complaints or praise for the driver behavior of this ride-sharing.
restaurants,price,negative,Wish the price on this restaurants was better.
smartphones,camera,neutral,"Honestly, the camera feels pretty average for a smartphones."
smartphones,design,positive,Absolutely loving the design of my new smartphones.
ride-sharing,route efficiency,negative,Really disappointed by the route efficiency in this ride-sharing.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
e-commerce,refund policy,positive,Absolutely loving the refund policy of my new e-commerce.
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
streaming services,ads,negative,The ads totally ruined my experience with this streaming services.
restaurants,service,neutral,No real complaints or praise for the service of this restaurants.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
e-commerce,customer support,negative,This e-commerce seriously dropped the ball on customer support.
ride-sharing,driver behavior,negative,Wish the driver behavior on this ride-sharing was better.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
streaming services,ads,negative,The ads totally ruined my experience with this streaming services.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
smartphones,screen,negative,Really disappointed by the screen in this smartphones.
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
smartphones,performance,positive,Absolutely loving the performance of my new smartphones.
ride-sharing,route efficiency,negative,Really disappointed by the route efficiency in this ride-sharing.
smartphones,design,negative,Still can't get over how bad the design is on this smartphones.
streaming services,subscription price,neutral,No real complaints or praise for the subscription price of this streaming services.
e-commerce,refund policy,neutral,"The refund policy on the e-commerce is okay, I guess."
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
ride-sharing,ride cost,neutral,"Honestly, the ride cost feels pretty average for a ride-sharing."
restaurants,cleanliness,neutral,"The restaurants's cleanliness does the job, nothing exciting."
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
streaming services,video quality,negative,This streaming services seriously dropped the ball on video quality.
smartphones,battery life,neutral,"The battery life on the smartphones is okay, I guess."
streaming services,app experience,negative,This streaming services seriously dropped the ball on app experience.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
restaurants,food quality,negative,This restaurants seriously dropped the ball on food quality.
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
restaurants,ambience,positive,Absolutely loving the ambience of my new restaurants.
restaurants,service,neutral,"The service on the restaurants is okay, I guess."
restaurants,food quality,positive,The food quality on this restaurants exceeded all expectations.
streaming services,ads,neutral,No real complaints or praise for the ads of this streaming services.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
smartphones,design,neutral,"The smartphones's design does the job, nothing exciting."
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
e-commerce,delivery time,neutral,"The delivery time on the e-commerce is okay, I guess."
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
ride-sharing,wait time,negative,Really disappointed by the wait time in this ride-sharing.
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
e-commerce,packaging,positive,I'm genuinely impressed with the packaging on this e-commerce.
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
e-commerce,delivery time,neutral,"The e-commerce's delivery time does the job, nothing exciting."
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
streaming services,subscription price,neutral,No real complaints or praise for the subscription price of this streaming services.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
e-commerce,product quality,neutral,Not much to say about the product quality—it's just fine.
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
smartphones,performance,neutral,"Honestly, the performance feels pretty average for a smartphones."
ride-sharing,car cleanliness,positive,The car cleanliness on this ride-sharing exceeded all expectations.
ride-sharing,ride cost,negative,Really disappointed by the ride cost in this ride-sharing.
streaming services,content variety,neutral,No real complaints or praise for the content variety of this streaming services.
e-commerce,delivery time,negative,Wish the delivery time on this e-commerce was better.
e-commerce,product quality,negative,Really disappointed by the product quality in this e-commerce.
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
e-commerce,customer support,positive,Absolutely loving the customer support of my new e-commerce.
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
streaming services,video quality,neutral,"Honestly, the video quality feels pretty average for a streaming services."
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
e-commerce,refund policy,negative,The refund policy totally ruined my experience with this e-commerce.
restaurants,ambience,neutral,"The ambience on the restaurants is okay, I guess."
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
e-commerce,product quality,negative,Really disappointed by the product quality in this e-commerce.
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
ride-sharing,wait time,negative,This ride-sharing seriously dropped the ball on wait time.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
restaurants,service,neutral,Not much to say about the service—it's just fine.
restaurants,food quality,negative,Really disappointed by the food quality in this restaurants.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
smartphones,design,neutral,No real complaints or praise for the design of this smartphones.
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
ride-sharing,route efficiency,neutral,"Honestly, the route efficiency feels pretty average for a ride-sharing."
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
ride-sharing,route efficiency,positive,"Hands down, this is the best route efficiency I've experienced with any ride-sharing."
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
smartphones,camera,neutral,"The smartphones's camera does the job, nothing exciting."
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
ride-sharing,ride cost,positive,"Hands down, this is the best ride cost I've experienced with any ride-sharing."
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
smartphones,screen,negative,This smartphones seriously dropped the ball on screen.
restaurants,cleanliness,negative,Still can't get over how bad the cleanliness is on this restaurants.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
e-commerce,packaging,positive,I'm genuinely impressed with the packaging on this e-commerce.
e-commerce,packaging,neutral,"The e-commerce's packaging does the job, nothing exciting."
ride-sharing,wait time,negative,The wait time totally ruined my experience with this ride-sharing.
e-commerce,delivery time,neutral,No real complaints or praise for the delivery time of this e-commerce.
ride-sharing,driver behavior,negative,Still can't get over how bad the driver behavior is on this ride-sharing.
ride-sharing,ride cost,neutral,"The ride cost on the ride-sharing is okay, I guess."
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
ride-sharing,route efficiency,negative,Wish the route efficiency on this ride-sharing was better.
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
ride-sharing,driver behavior,neutral,Not much to say about the driver behavior—it's just fine.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
e-commerce,delivery time,neutral,"Honestly, the delivery time feels pretty average for a e-commerce."
restaurants,ambience,neutral,"The restaurants's ambience does the job, nothing exciting."
smartphones,battery life,neutral,"Honestly, the battery life feels pretty average for a smartphones."
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
streaming services,subscription price,positive,Absolutely loving the subscription price of my new streaming services.
ride-sharing,car cleanliness,neutral,Not much to say about the car cleanliness—it's just fine.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
restaurants,service,positive,Absolutely loving the service of my new restaurants.
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
e-commerce,refund policy,neutral,No real complaints or praise for the refund policy of this e-commerce.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
restaurants,ambience,negative,This restaurants seriously dropped the ball on ambience.
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
restaurants,service,negative,Wish the service on this restaurants was better.
smartphones,design,negative,This smartphones seriously dropped the ball on design.
restaurants,cleanliness,neutral,"The cleanliness on the restaurants is okay, I guess."
